student_name,tel,address,school,grade,tel,status
林璧筱,0918235040,新北市鶯歌區朝陽街五柳巷48號,台北市立建國高級中學,二年級,0944629140,
蔡湘玉,0933379720,高雄市橋頭區中崎路關聖巷59號,新北市立板橋高級中學,二年級,0987453876,
鐘筠綺,0913386661,高雄市岡山區民族路27號6樓,新北市立新莊高級中學,三年級,0913700239,
李允菁,0916608052,高雄市岡山區本洲一街72號11樓,新北市立三峽高級中學,一年級,0972033177,
黎昭雪,0930045840,宜蘭縣頭城鎮東興街69號之8,台北市立景美高級中學,二年級,0973827874,
陳超銘,0938759985,臺中市潭子區祥和新莊91號4樓,台北市立建國高級中學,二年級,0972182496,
孫寶強,0917416520,新北市板橋區金門街43號3樓,台北市立第一女子高級中學,二年級,0922949556,
田光宸,0937370361,新竹縣新豐鄉翠豐路50號6樓,台北市立中山高級中學,一年級,0931468956,
陳堯璟,0938551556,屏東縣屏東市民生路21號6樓,新北市立瑞芳高級中學,一年級,0982682234,
李琴紈,0986559882,屏東縣屏東市武立街93號,新北市立中和高級中學,一年級,0910832143,
戴明添,0922468757,花蓮縣壽豐鄉三農場2號5樓,台北市立和平高級中學,一年級,0911323277,
張春陽,0988341626,臺中市烏日區溪南路１段1號,台北市立光明高級中學,三年級,0959078902,
陳姣彤,0922370186,金門縣金城鎮環島北路57號,新北市立林口高級中學,二年級,0954530345,已離開
程尹靄,0931940297,高雄市鳳山區文澄街9號,私立薇閣高級中學,二年級,0987685641,
楊欽歆,0955607846,桃園市大園區東北角貨運機坪52號,新北市立深坑高級中學,二年級,0901074221,
石旻藝,0924273792,臺南市東區前鋒路76號11樓,新北市立板橋高級中學,一年級,0909608044,
石峯清,0916970494,南投縣竹山鎮圓山巷52號12樓之12,台北市立西松高級中學,一年級,0948195237,
韓石鈞,0912904544,彰化縣員林市南平五街65號11樓,新北市立樹林高級中學,三年級,0989825469,
鄭卓雅,0932983960,臺北市信義區吳興街60號,新北市立深坑高級中學,一年級,0968642327,
林尚景,0931129665,臺南市安南區樂活二十二街32號10樓,新北市立瑞芳高級中學,三年級,0911491340,
林世強,0922391220,桃園市平鎮區平東路２段77號,台北市立第一女子高級中學,三年級,0968587578,
陳俊可,0955790752,臺中市神岡區三民路47號,新北市立淡水高級中學,二年級,0919036795,
柯洋琛,0954000606,高雄市前鎮區鎮興路26號12樓之9,新北市立板橋高級中學,一年級,0997903274,
廖嬋旻,0934490719,彰化縣社頭鄉山路３段97號,新北市立新莊高級中學,一年級,0928298218,
黃俊祟,0960130103,臺東縣東河鄉那界4號,新北市立鶯歌高級中學,二年級,0900721045,已離開
侯善書,0910159658,新竹市北區文雅街70號,新北市立鶯歌高級中學,三年級,0988341914,
陸俠拓,0931220674,嘉義縣番路鄉公仔15號7樓,台北市立光明高級中學,一年級,0942396121,
李嚴馳,0916549697,高雄市燕巢區安招路22號之8,新北市立五股高級中學,二年級,0972624356,
謝初易,0915601352,新北市汐止區信義路65號之13,台北市立中山高級中學,二年級,0954223576,
張吉妹,0911399681,嘉義縣東石鄉連潭38號之13,台北市立西松高級中學,二年級,0955084521,
曾常雙,0968540817,新北市淡水區中正東路１段16號10樓,台北市立南港高級中學,一年級,0921160878,
蔡珂靈,0972547389,新北市泰山區半山雅99號4樓之12,新北市立瑞芳高級中學,一年級,0924176830,
鄒斯泓,0926898527,新竹縣湖口鄉綠野36號,新北市立三芝高級中學,三年級,0924025661,
李尹瑞,0939770632,臺北市松山區民生東路５段70號,新北市立三芝高級中學,二年級,0905499187,
彭林漢,0921654595,花蓮縣玉里鎮宮前41號,新北市立五股高級中學,二年級,0924228960,
郭晗騏,0916350388,苗栗縣通霄鎮白東24號之1,台北市立西松高級中學,三年級,0931905958,
鐘偉秉,0972219228,高雄市鹽埕區莒光街34號,台北市立松山高級中學,一年級,0986896260,
李宗家,0937966470,桃園市桃園區永安路96號,新北市立三重高級中學,三年級,0991639500,
巫懿萍,0989424509,臺中市霧峰區中正路1號,新北市立中和高級中學,一年級,0923135110,
徐森瑾,0961849184,新北市三芝區四棧橋73號,新北市立林口高級中學,三年級,0959270574,
曾天遠,0936096388,臺南市仁德區中山路66號,台北市立實踐高級中學,三年級,0999114189,
劉任華,0955103759,臺南市新化區口埤83號9樓之9,台北市立大理高級中學,三年級,0986795795,
趙婭漢,0914209670,南投縣魚池鄉文正巷54號,台北市立光明高級中學,二年級,0960357663,
陸勝睿,0913230809,高雄市大社區蜈潭巷11號,台北市立華岡高級中學,二年級,0922497618,
魏禹綺,0963162095,宜蘭縣頭城鎮港口路56號,新北市立瑞芳高級中學,三年級,0952286485,已離開
許強良,0924679045,高雄市左營區緯六路87號2樓之19,私立薇閣高級中學,一年級,0980397627,
朱貴顏,0988240511,嘉義縣竹崎鄉中心崙87號,新北市立新莊高中,三年級,0956331519,
邵旻茹,0916093548,南投縣魚池鄉新店巷76號,新北市立三芝高級中學,二年級,0907284492,
卓琴詠,0972304198,苗栗縣苗栗市復興路２段85號11樓,台北市立西松高級中學,三年級,0988844567,
楊立芬,0927773926,屏東縣東港鎮中興街85號,台北市立南港高級中學,二年級,0941973694,
鍾言軒,0963636319,苗栗縣頭份市喜街64號之14,台北市立大安高級中學,二年級,0960636319,
姚佑盛,0926303958,屏東縣恆春鎮五里路77號之14,台北市立中正高級中學,三年級,0919715498,
吳森玉,0986286678,高雄市三民區大豐二路82號10樓,新北市立板橋高級中學,三年級,0988264252,
李少語,0912085917,高雄市楠梓區大學六十街9號,私立薇閣高級中學,二年級,0967333146,
姜峯祺,0939931515,臺南市安平區漁光路49號,新北市立瑞芳高級中學,三年級,0958795798,
高熙雪,0934521106,桃園市楊梅區文化街88號12樓,新北市立金山高級中學,二年級,0966526227,已離開
潘鈞陣,0963429011,宜蘭縣冬山鄉寶德路94號,新北市立樹林高級中學,三年級,0985397957,已離開
何南義,0968795075,屏東縣新園鄉義仁路42號12樓,私立薇閣高級中學,一年級,0920814041,
范婷嫻,0931244051,新北市中和區保健路84號,新北市立五股高級中學,二年級,0951298504,
李宜竹,0970555800,新北市新莊區民樂街69號7樓,台北市立景美高級中學,一年級,0916003447,
林穎葉,0924706016,新竹市北區鐵道路２段99號,台北市立中山高級中學,二年級,0965322440,
童善韶,0930855358,屏東縣恆春鎮墾丁路石牛巷77號,新北市立淡水高級中學,二年級,0990086536,
謝宸蕾,0972802287,彰化縣和美鎮健康新村五街32號4樓之17,新北市立新莊高中,二年級,0969213843,已離開
古希韜,0919403751,嘉義縣竹崎鄉石壁79號,新北市立新北高級中學,三年級,0979528783,
陳添雨,0987025293,屏東縣萬丹鄉加勇路41號,台北市立西松高級中學,二年級,0903400714,
許惠遠,0935677270,南投縣國姓鄉福旗巷65號,新北市立五股高級中學,二年級,0967484448,
魏晨紫,0930499501,嘉義縣鹿草鄉鹿草84號,台北市立景美高級中學,一年級,0926399442,
廖濤穎,0923803181,臺中市西屯區福星路42號,台北市立第一女子高級中學,二年級,0940474100,
邱卿穎,0972597992,新北市土城區學府路２段10號7樓,新北市立中和高級中學,三年級,0946604995,
劉嘉嬈,0960192259,高雄市前鎮區一心二路8號,台北市立第一女子高級中學,一年級,0946122003,
劉秀育,0915239334,嘉義縣阿里山鄉自忠87號3樓,新北市立樹林高級中學,二年級,0956544162,
黎珮雅,0927906944,臺中市西屯區惠中六街57號6樓,新北市立林口高級中學,二年級,0959439780,已離開
紀展裕,0911063719,桃園市平鎮區延平路２段75號,新北市立新店高級中學,一年級,0976420189,
王力建,0926328030,苗栗縣後龍鎮三民路97號,台北市立光明高級中學,三年級,0909442232,
蔡懷萱,0935308516,雲林縣斗六市嘉新二路39號,新北市立林口高級中學,二年級,0965156898,
袁勝梓,0920732181,新北市新莊區中原路89號,新北市立樹林高級中學,三年級,0920478289,
林清逸,0932276571,彰化縣員林市雙景街22號,台北市立大同高級中學,三年級,0900212847,
洪庸雲,0910828968,新北市汐止區民族五街95號6樓,新北市立新北高級中學,二年級,0960655749,
彭任陣,0963718464,彰化縣社頭鄉仁愛二路91號8樓之18,台北市立大直高級中學,二年級,0985964410,
李伯祐,0934072298,臺中市西區民生路18號,新北市立深坑高級中學,二年級,0928157006,
沈博致,0917547670,高雄市三民區建興三巷38號,新北市立深坑高級中學,一年級,0934840846,
鍾晉磊,0989891190,臺北市文山區富山路77號,新北市立土城高級中學,二年級,0964359644,
鐘義韶,0930815347,桃園市中壢區富國街98號10樓,台北市立南港高級中學,一年級,0915669209,
葉彬晉,0953689340,高雄市湖內區中正路２段62號6樓,台北市立松山高級中學,二年級,0920152241,
周璇遠,0916395083,新北市新莊區後港二路7號,台北市立建國高級中學,一年級,0922273283,
蔡帆雯,0971583730,南投縣仁愛鄉虎門巷73號,新北市立鶯歌高級中學,一年級,0906282036,
徐崇雪,0910441994,南投縣南投市學府一街4號2樓,台北市立華岡高級中學,一年級,0933705956,
曾城精,0938681872,花蓮縣吉安鄉吉祥三街64號,新北市立鶯歌高級中學,三年級,0964655624,已離開
林思益,0910897054,臺南市鹽水區新太路17號10樓,台北市立華岡高級中學,一年級,0934247775,
黃千梅,0933243999,新竹縣竹北市高鐵八路29號11樓,新北市立深坑高級中學,二年級,0919338249,
陳熹芝,0952808082,桃園市龜山區萬壽路１段71號之18,新北市立新莊高中,三年級,0970986532,
李義聖,0968579768,花蓮縣吉安鄉海濱30號,新北市立中和高級中學,二年級,0936050331,
李智韜,0968812615,新北市泰山區橫窠雅41號之4,新北市立林口高級中學,二年級,0947878670,
陳遠黛,0982435324,高雄市前鎮區佛佑路50號,台北市立大直高級中學,一年級,0931203482,
張棋茹,0923100191,苗栗縣大湖鄉坑62號11樓,台北市立大安高級中學,一年級,0973464447,
羅功清,0927543645,宜蘭縣宜蘭市和睦路28號,新北市立新莊高級中學,一年級,0985088216,
曾捷菁,0922672212,桃園市中壢區環中東路２段74號,台北市立大直高級中學,二年級,0945676948,
李朋流,0932774730,金門縣金沙鎮東店59號,私立薇閣高級中學,二年級,0954829983,
范盧茹,0938818359,新北市泰山區橫窠雅12號8樓,新北市立五股高級中學,一年級,0936698285,
許翔逞,0911559876,臺中市北區自強街78號11樓,台北市立大直高級中學,二年級,0968106445,
鄧可銘,0971865550,高雄市新興區中正三路83號,台北市立南港高級中學,一年級,0968783619,
謝伯冠,0914949441,屏東縣萬丹鄉大圳路80號4樓,台北市立景美高級中學,二年級,0928779306,
莊洢芊,0987899741,桃園市桃園區守法路83號5樓之2,新北市立中和高級中學,三年級,0902963570,
謝瑞鈺,0935844596,臺中市沙鹿區中清路西勢十巷59號,新北市立淡水高級中學,二年級,0982298528,
邵遠靖,0931361945,南投縣南投市向上二路54號9樓,新北市立中和高級中學,一年級,0949721262,
邱彰禹,0918450328,高雄市燕巢區中民路7號,台北市立華岡高級中學,二年級,0940816543,
蔣笑菁,0914947809,雲林縣虎尾鎮大成十四街84號12樓,新北市立新莊高中,一年級,0974263675,
黃安浩,0923297970,嘉義縣溪口鄉中山路1號,台北市立大安高級中學,一年級,0988563837,
唐奇羽,0917367636,屏東縣屏東市園東街75號4樓,新北市立三芝高級中學,三年級,0921243219,
巫漢雨,0912343431,宜蘭縣冬山鄉境安一路30號,台北市立大同高級中學,三年級,0985923884,
劉啟嶽,0970209452,新竹縣寶山鄉大坪路40號9樓,新北市立三重高級中學,二年級,0910034877,
沈夢瑋,0958854677,桃園市大園區和平二街33號,新北市立土城高級中學,一年級,0978799811,
曾召夏,0925667612,臺南市北區育德路4號之11,新北市立新莊高中,二年級,0923837630,已離開
游流霄,0929964033,苗栗縣苗栗市莒光街50號,新北市立樹林高級中學,三年級,0905795329,
魏常意,0971977420,雲林縣西螺鎮平和南路28號,新北市立林口高級中學,一年級,0951914060,
王名語,0911198251,臺中市南區新榮街59號6樓,新北市立樹林高級中學,二年級,0913448710,
張沛煥,0935404674,臺中市北屯區九龍街40號,新北市立新莊高級中學,一年級,0902242673,
許淳祥,0914908370,臺中市潭子區興豐山莊東七巷90號,台北市立中正高級中學,一年級,0924009085,
馮全萱,0956484374,雲林縣北港鎮新興市場丙棟91號7樓,私立薇閣高級中學,一年級,0968486868,
林亮偉,0972716484,桃園市龍潭區工一路82號,台北市立華岡高級中學,二年級,0900333493,
侯政進,0970420170,高雄市前鎮區南六路81號,台北市立大直高級中學,一年級,0918751660,已離開
許昱銘,0934395891,南投縣南投市千秋路59號,新北市立新莊高中,一年級,0938961274,
錢泓然,0933662364,臺中市南區頂橋一巷44號,新北市立土城高級中學,二年級,0974711484,
劉晨道,0988862400,臺中市沙鹿區沙田路６段31號,新北市立三重高級中學,二年級,0936535429,
簡先芮,0953530291,彰化縣永靖鄉五汴巷20號,新北市立樹林高級中學,三年級,0978875050,
江寒庭,0961681625,屏東縣屏東市勝利路100號,新北市立新莊高級中學,三年級,0967396638,
林瀚理,0954126588,屏東縣長治鄉上寮巷40號,新北市立林口高級中學,一年級,0967270535,
林修越,0925787661,高雄市楠梓區大學三十六街94號,新北市立新北高級中學,一年級,0986009922,
許好採,0917202119,新北市樹林區保安二街64號,新北市立深坑高級中學,二年級,0936680715,
陳羽舟,0923293245,高雄市茄萣區茄萣路１段61號,新北市立中和高級中學,三年級,0989846081,已離開
程敬陣,0936438756,嘉義市西區世賢路３段82號,新北市立新北高級中學,二年級,0916168616,
黃君淇,0919311735,苗栗縣獅潭鄉三份27號,台北市立景美高級中學,一年級,0959164290,
游芝雅,0920749272,高雄市鳥松區清華街54號,台北市立第一女子高級中學,三年級,0929250588,
薛榮樂,0914550900,南投縣水里鄉中山一街39號6樓之7,新北市立林口高級中學,二年級,0935487688,
金健洋,0956449183,桃園市大園區南和路57號,台北市立大直高級中學,一年級,0954487656,
邱旭許,0924478730,嘉義縣梅山鄉下溪42號,台北市立景美高級中學,一年級,0986721294,
曾蕾露,0912516273,桃園市中壢區中豐北路２段95號,新北市立土城高級中學,三年級,0985261562,
蔡茜飛,0932499018,宜蘭縣宜蘭市河濱南路78號之12,台北市立華岡高級中學,二年級,0973898999,
張希星,0923965706,臺南市官田區渡子頭45號,台北市立第一女子高級中學,三年級,0907858896,
林宣晶,0956783958,臺中市大甲區大發路56號,新北市立樹林高級中學,三年級,0930096221,
康昌順,0960776244,新北市鶯歌區中正三路福德巷31號,新北市立深坑高級中學,二年級,0968195907,已離開
詹瑾韻,0925677383,雲林縣口湖鄉代安街58號,新北市立三重高級中學,三年級,0954148795,已離開
蔡啟璟,0932236691,屏東縣屏東市民立二街27號,台北市立中山高級中學,三年級,0909948671,
陳心純,0954413222,雲林縣斗六市鎮北路14號,新北市立三芝高級中學,三年級,0977425950,
薛煜越,0933638662,臺南市永康區大灣路85號,台北市立景美高級中學,一年級,0938872155,
康偲琴,0961850547,桃園市龍潭區中央街15號,新北市立板橋高級中學,一年級,0927863079,
周倫平,0954541482,澎湖縣馬公市永壽街70號,台北市立和平高級中學,二年級,0902680489,
朱實琦,0987867869,桃園市蘆竹區黃帝街49號,台北市立景美高級中學,二年級,0945470791,
吳慶歆,0963289486,南投縣草屯鎮芬草路１段圳寮巷37號,新北市立三重高級中學,三年級,0970139740,
林晉羽,0970346879,臺中市北屯區貿易北一巷31號5樓,新北市立淡水高級中學,三年級,0954921486,
鐘夕英,0953919293,新竹縣北埔鄉二寮22號5樓之19,台北市立光明高級中學,三年級,0906679059,
廖卓藻,0961974916,雲林縣斗南鎮八德街46號,新北市立新北高級中學,三年級,0953700321,
許榕燕,0914475453,宜蘭縣三星鄉富貴一路69號,新北市立瑞芳高級中學,二年級,0974647732,
楊慈旭,0954166290,雲林縣麥寮鄉雷厝75號2樓,新北市立新莊高級中學,一年級,0979130267,已離開
劉叢召,0989506560,宜蘭縣宜蘭市梅洲二路23號,台北市立第一女子高級中學,三年級,0907625025,
蔡世琦,0916425586,嘉義縣布袋鎮光復路１段100號2樓,新北市立土城高級中學,一年級,0933104367,
林帆菲,0961852842,新北市新莊區中華路１段44號11樓之15,台北市立建國高級中學,二年級,0998379736,
杜曉泛,0989971159,嘉義縣中埔鄉柚仔宅76號,台北市立松山高級中學,三年級,0904797726,
龔函婉,0960899281,新北市中和區景新街25號8樓之4,台北市立光明高級中學,三年級,0932446841,
梁益羣,0930773380,臺中市北屯區崇德二路１段17號,新北市立三芝高級中學,一年級,0931780212,
周清潮,0919386652,屏東縣萬丹鄉保長厝街59號,台北市立西松高級中學,三年級,0978514709,
李豐辰,0916744547,新竹縣橫山鄉新興街33號,台北市立建國高級中學,一年級,0930756079,
楊拓斯,0913194965,臺南市白河區新興路42號之1,新北市立深坑高級中學,三年級,0937193759,
邱昱津,0938089222,桃園市復興區比亞外51號,台北市立實踐高級中學,一年級,0923452296,
戴歌毓,0935316251,新北市板橋區西門街83號,新北市立五股高級中學,三年級,0992353368,
陳姿梓,0927328560,雲林縣臺西鄉公42號6樓之19,新北市立中和高級中學,二年級,0961813055,
黃安耿,0960882809,臺中市北區漢陽街39號,台北市立建國高級中學,三年級,0908501714,
張郜駱,0953855947,桃園市新屋區東興路２段97號,台北市立大同高級中學,二年級,0986495170,
王才石,0918910134,屏東縣佳冬鄉中巷46號11樓,台北市立松山高級中學,一年級,0904607187,
劉立鋭,0938295367,嘉義縣溪口鄉牛埔寮83號,新北市立三芝高級中學,三年級,0907998117,已離開
湯凝芷,0970700317,苗栗縣竹南鎮龍山路１段67號,台北市立南港高級中學,三年級,0986971638,
吳樸澍,0933675426,嘉義市東區宣信街49號之7,新北市立金山高級中學,三年級,0971113394,
劉永韶,0960102984,臺南市東區東平路95號9樓,新北市立中和高級中學,二年級,0944959900,
蘇一呈,0935526756,高雄市鼓山區厚生路24號,新北市立泰山高級中學,一年級,0998208631,
連柯琦,0938118147,新竹縣竹東鎮中和路40號,新北市立五股高級中學,二年級,0995736927,
林冠笑,0982749106,臺北市大同區興城街57號,新北市立三重高級中學,三年級,0927591599,
曾凝夏,0930386312,臺中市大肚區福興街85號8樓,新北市立泰山高級中學,三年級,0922339882,
許堯禧,0934825350,花蓮縣壽豐鄉牧場92號9樓,新北市立林口高級中學,三年級,0902722530,已離開
楊庸鴻,0960231208,臺北市萬華區環河南路２段47號3樓之9,台北市立大同高級中學,二年級,0988969889,
蔡勵鑫,0925640724,花蓮縣花蓮市中正路83號3樓,新北市立新北高級中學,二年級,0955986714,
廖培芳,0971059160,臺南市東區崇善路67號5樓,新北市立中和高級中學,一年級,0901609171,
林熙賢,0935650643,新北市汐止區伯爵街11號4樓,新北市立板橋高級中學,三年級,0982681041,
許弘英,0913678259,高雄市三民區自立一路84號6樓,台北市立建國高級中學,三年級,0908453540,
曾平濤,0921122342,臺中市南屯區文山十一街79號7樓,新北市立新莊高級中學,二年級,0972082753,
陳強書,0972579722,南投縣竹山鎮前山路１段37號11樓,新北市立板橋高級中學,三年級,0903798197,
高娟芬,0938834085,新竹縣湖口鄉鐵騎路12號,新北市立瑞芳高級中學,一年級,0958528173,
鄧聰輝,0922527842,臺北市士林區中山北路５段90號之13,台北市立第一女子高級中學,二年級,0943920062,已離開
巫吉晉,0921278414,新竹市東區光華街92號,台北市立華岡高級中學,一年級,0903472384,已離開
吳照越,0926836354,臺中市清水區五權東路24號,新北市立瑞芳高級中學,二年級,0989027429,
尤于熹,0921856214,苗栗縣竹南鎮和興路65號之1,新北市立深坑高級中學,三年級,0924924402,
張方英,0916684476,屏東縣新埤鄉餉林路１段79號,新北市立深坑高級中學,三年級,0905700114,
唐夫昊,0955791617,新竹縣竹北市十興三街90號,台北市立大同高級中學,三年級,0942355260,已離開
鄭歆瞻,0956716624,臺中市豐原區豐原大道３段60號9樓,新北市立三芝高級中學,二年級,0993704173,
蘇恩江,0988027428,臺北市中山區長安東路１段89號,新北市立三重高級中學,三年級,0933210780,
鄧採穎,0927773103,新北市新莊區中正路65號,台北市立光明高級中學,一年級,0936324965,
楊海豔,0912899101,臺中市北屯區崇德十五路3號,新北市立三芝高級中學,一年級,0955887796,
溫以濮,0935471297,臺中市沙鹿區中山路23號,新北市立土城高級中學,三年級,0937108308,
丁昀瑜,0916186539,屏東縣麟洛鄉中華路站前巷18號2樓,台北市立建國高級中學,三年級,0919164279,已離開
金利逸,0917156629,苗栗縣頭份市東田街13號之3,台北市立景美高級中學,一年級,0946217846,
紀智辰,0919782651,臺北市萬華區成都路86號,新北市立金山高級中學,二年級,0944351253,
宋立鬆,0953197375,宜蘭縣大同鄉松羅東巷84號,台北市立中正高級中學,一年級,0902108785,已離開
龔折苑,0934045357,臺南市歸仁區民權十二街98號之10,新北市立板橋高級中學,二年級,0945299189,
吳熹鷺,0938861353,屏東縣內埔鄉明華路35號,台北市立大理高級中學,一年級,0931475931,
簡淑琳,0921964733,南投縣草屯鎮富昌路14號10樓,台北市立大同高級中學,三年級,0904338754,
白昀春,0986188358,臺南市安南區安中路１段86號5樓之16,台北市立華岡高級中學,三年級,0931459698,
吳慶精,0989879745,澎湖縣馬公市文山路43號,台北市立第一女子高級中學,二年級,0955785640,已離開
鄭毅遠,0918828625,苗栗縣頭份市花好月圓97號11樓,新北市立新店高級中學,二年級,0991813738,
李傑建,0927596732,臺北市松山區八德路４段98號,台北市立和平高級中學,一年級,0999842816,已離開
洪怡竹,0989467776,桃園市龜山區幸福五街61號5樓之9,台北市立西松高級中學,三年級,0953813439,
巫彬欽,0935180708,屏東縣恆春鎮南灣路信義巷92號9樓,台北市立華岡高級中學,三年級,0901017408,
李呈宸,0918492672,臺南市安南區慈興七街64號,新北市立新莊高中,二年級,0941244838,
藍奕弘,0936325941,彰化縣鹿港鎮育民街3號2樓,台北市立華岡高級中學,一年級,0939495260,
廖希拓,0972730683,高雄市橋頭區橋頭路8號8樓,台北市立西松高級中學,二年級,0924414345,
趙卓喧,0938510596,嘉義縣竹崎鄉水尾仔55號,私立薇閣高級中學,二年級,0900569264,
黎芷黛,0924536770,高雄市大樹區中興街市場巷2號3樓之15,台北市立西松高級中學,三年級,0965253016,
陳常潤,0921156242,臺北市萬華區內江街17號,台北市立建國高級中學,一年級,0976812719,
陳亮衞,0982592761,高雄市新興區林森一路23號9樓之2,新北市立中和高級中學,三年級,0949375039,
蔣泰祥,0914118573,臺南市六甲區中興街15號之5,新北市立板橋高級中學,二年級,0963152370,
戴凝彤,0960045732,雲林縣斗六市岩山路63號6樓之4,新北市立中和高級中學,一年級,0903784679,
許又喧,0954116956,高雄市前鎮區衙松三街57號之8,台北市立光明高級中學,一年級,0906571643,
陳涵芳,0960515868,新竹縣尖石鄉麥樹仁58號,台北市立景美高級中學,二年級,0903231464,已離開
胡俊勛,0910560500,臺南市楠西區水庫路73號,私立薇閣高級中學,三年級,0924229317,
邱召璇,0924242608,彰化縣鹿港鎮忠孝路43號,台北市立建國高級中學,三年級,0947643257,
范升玲,0958918462,新竹縣竹東鎮軟橋12號,台北市立南港高級中學,一年級,0905422375,
溫宇慈,0934911539,花蓮縣花蓮市建華路6號2樓,新北市立三芝高級中學,一年級,0927239941,
宋卿詠,0987338757,臺南市歸仁區保興街31號12樓之17,新北市立新莊高級中學,一年級,0956098373,
陳允叢,0927717927,新竹縣湖口鄉新生一路89號2樓之11,私立薇閣高級中學,二年級,0918448033,
詹呈芪,0912692281,臺中市南屯區大同街37號,台北市立和平高級中學,一年級,0978317696,
蔣亦召,0917280371,臺東縣臺東市中山路51號2樓,台北市立大理高級中學,一年級,0906479602,
巫佩芊,0963937226,彰化縣埔鹽鄉好金路66號,台北市立中山高級中學,三年級,0985809221,
林中益,0910503470,桃園市龍潭區百年五街67號,台北市立大理高級中學,一年級,0955854249,已離開
吳彬駱,0932835991,苗栗縣卓蘭鎮豐田24號,新北市立深坑高級中學,一年級,0914291634,
魏世懋,0918378247,臺東縣臺東市重慶路80號,台北市立華岡高級中學,一年級,0900463855,
王妤政,0956152899,臺北市大安區金山南路２段61號11樓之10,新北市立新莊高級中學,三年級,0959565353,
余揚鷺,0952374063,高雄市美濃區中興路２段28號,新北市立中和高級中學,三年級,0912368431,
