student_name,tel,city,district,route
曾城精,0938681872,花蓮縣,吉安鄉,吉祥三街64號
林思益,0910897054,臺南市,鹽水區,新太路17號10樓
黃千梅,0933243999,新竹縣,竹北市,高鐵八路29號11樓
陳熹芝,0952808082,桃園市,龜山區,萬壽路１段71號之18
李義聖,0968579768,花蓮縣,吉安鄉,海濱30號
李智韜,0968812615,新北市,泰山區,橫窠雅41號之4
陳遠黛,0982435324,高雄市,前鎮區,佛佑路50號
張棋茹,0923100191,苗栗縣,大湖鄉,坑62號11樓
羅功清,0927543645,宜蘭縣,宜蘭市,和睦路28號
曾捷菁,0922672212,桃園市,中壢區,環中東路２段74號
李朋流,0932774730,金門縣,金沙鎮,東店59號
范盧茹,0938818359,新北市,泰山區,橫窠雅12號8樓
許翔逞,0911559876,臺中市,北區,自強街78號11樓
鄧可銘,0971865550,高雄市,新興區,中正三路83號
謝伯冠,0914949441,屏東縣,萬丹鄉,大圳路80號4樓
莊洢芊,0987899741,桃園市,桃園區,守法路83號5樓之2
謝瑞鈺,0935844596,臺中市,沙鹿區,中清路西勢十巷59號
邵遠靖,0931361945,南投縣,南投市,向上二路54號9樓
邱彰禹,0918450328,高雄市,燕巢區,中民路7號
蔣笑菁,0914947809,雲林縣,虎尾鎮,大成十四街84號12樓
黃安浩,0923297970,嘉義縣,溪口鄉,中山路1號
唐奇羽,0917367636,屏東縣,屏東市,園東街75號4樓
巫漢雨,0912343431,宜蘭縣,冬山鄉,境安一路30號
劉啟嶽,0970209452,新竹縣,寶山鄉,大坪路40號9樓
沈夢瑋,0958854677,桃園市,大園區,和平二街33號
曾召夏,0925667612,臺南市,北區,育德路4號之11
游流霄,0929964033,苗栗縣,苗栗市,莒光街50號
魏常意,0971977420,雲林縣,西螺鎮,平和南路28號
王名語,0911198251,臺中市,南區,新榮街59號6樓
張沛煥,0935404674,臺中市,北屯區,九龍街40號
許淳祥,0914908370,臺中市,潭子區,興豐山莊東七巷90號
馮全萱,0956484374,雲林縣,北港鎮,新興市場丙棟91號7樓
林亮偉,0972716484,桃園市,龍潭區,工一路82號
侯政進,0970420170,高雄市,前鎮區,南六路81號
許昱銘,0934395891,南投縣,南投市,千秋路59號
錢泓然,0933662364,臺中市,南區,頂橋一巷44號
劉晨道,0988862400,臺中市,沙鹿區,沙田路６段31號
簡先芮,0953530291,彰化縣,永靖鄉,五汴巷20號
江寒庭,0961681625,屏東縣,屏東市,勝利路100號
林瀚理,0954126588,屏東縣,長治鄉,上寮巷40號
林修越,0925787661,高雄市,楠梓區,大學三十六街94號
許好採,0917202119,新北市,樹林區,保安二街64號
陳羽舟,0923293245,高雄市,茄萣區,茄萣路１段61號
程敬陣,0936438756,嘉義市,西區,世賢路３段82號
黃君淇,0919311735,苗栗縣,獅潭鄉,三份27號
游芝雅,0920749272,高雄市,鳥松區,清華街54號
薛榮樂,0914550900,南投縣,水里鄉,中山一街39號6樓之7
金健洋,0956449183,桃園市,大園區,南和路57號
邱旭許,0924478730,嘉義縣,梅山鄉,下溪42號
曾蕾露,0912516273,桃園市,中壢區,中豐北路２段95號
蔡茜飛,0932499018,宜蘭縣,宜蘭市,河濱南路78號之12
張希星,0923965706,臺南市,官田區,渡子頭45號
林宣晶,0956783958,臺中市,大甲區,大發路56號
康昌順,0960776244,新北市,鶯歌區,中正三路福德巷31號
詹瑾韻,0925677383,雲林縣,口湖鄉,代安街58號
蔡啟璟,0932236691,屏東縣,屏東市,民立二街27號
陳心純,0954413222,雲林縣,斗六市,鎮北路14號
薛煜越,0933638662,臺南市,永康區,大灣路85號
康偲琴,0961850547,桃園市,龍潭區,中央街15號
周倫平,0954541482,澎湖縣,馬公市,永壽街70號
朱實琦,0987867869,桃園市,蘆竹區,黃帝街49號
吳慶歆,0963289486,南投縣,草屯鎮,芬草路１段圳寮巷37號
林晉羽,0970346879,臺中市,北屯區,貿易北一巷31號5樓
鐘夕英,0953919293,新竹縣,北埔鄉,二寮22號5樓之19
廖卓藻,0961974916,雲林縣,斗南鎮,八德街46號
許榕燕,0914475453,宜蘭縣,三星鄉,富貴一路69號
楊慈旭,0954166290,雲林縣,麥寮鄉,雷厝75號2樓
劉叢召,0989506560,宜蘭縣,宜蘭市,梅洲二路23號
蔡世琦,0916425586,嘉義縣,布袋鎮,光復路１段100號2樓
林帆菲,0961852842,新北市,新莊區,中華路１段44號11樓之15
杜曉泛,0989971159,嘉義縣,中埔鄉,柚仔宅76號
龔函婉,0960899281,新北市,中和區,景新街25號8樓之4
梁益羣,0930773380,臺中市,北屯區,崇德二路１段17號
周清潮,0919386652,屏東縣,萬丹鄉,保長厝街59號
李豐辰,0916744547,新竹縣,橫山鄉,新興街33號
楊拓斯,0913194965,臺南市,白河區,新興路42號之1
邱昱津,0938089222,桃園市,復興區,比亞外51號
戴歌毓,0935316251,新北市,板橋區,西門街83號
陳姿梓,0927328560,雲林縣,臺西鄉,公42號6樓之19
黃安耿,0960882809,臺中市,北區,漢陽街39號
張郜駱,0953855947,桃園市,新屋區,東興路２段97號
王才石,0918910134,屏東縣,佳冬鄉,中巷46號11樓
劉立鋭,0938295367,嘉義縣,溪口鄉,牛埔寮83號
湯凝芷,0970700317,苗栗縣,竹南鎮,龍山路１段67號
吳樸澍,0933675426,嘉義市,東區,宣信街49號之7
劉永韶,0960102984,臺南市,東區,東平路95號9樓
蘇一呈,0935526756,高雄市,鼓山區,厚生路24號
連柯琦,0938118147,新竹縣,竹東鎮,中和路40號
林冠笑,0982749106,臺北市,大同區,興城街57號
曾凝夏,0930386312,臺中市,大肚區,福興街85號8樓
許堯禧,0934825350,花蓮縣,壽豐鄉,牧場92號9樓
楊庸鴻,0960231208,臺北市,萬華區,環河南路２段47號3樓之9
蔡勵鑫,0925640724,花蓮縣,花蓮市,中正路83號3樓
廖培芳,0971059160,臺南市,東區,崇善路67號5樓
林熙賢,0935650643,新北市,汐止區,伯爵街11號4樓
許弘英,0913678259,高雄市,三民區,自立一路84號6樓
曾平濤,0921122342,臺中市,南屯區,文山十一街79號7樓
陳強書,0972579722,南投縣,竹山鎮,前山路１段37號11樓
高娟芬,0938834085,新竹縣,湖口鄉,鐵騎路12號
鄧聰輝,0922527842,臺北市,士林區,中山北路５段90號之13
巫吉晉,0921278414,新竹市,東區,光華街92號
吳照越,0926836354,臺中市,清水區,五權東路24號
尤于熹,0921856214,苗栗縣,竹南鎮,和興路65號之1
張方英,0916684476,屏東縣,新埤鄉,餉林路１段79號
唐夫昊,0955791617,新竹縣,竹北市,十興三街90號
鄭歆瞻,0956716624,臺中市,豐原區,豐原大道３段60號9樓
蘇恩江,0988027428,臺北市,中山區,長安東路１段89號
鄧採穎,0927773103,新北市,新莊區,中正路65號
楊海豔,0912899101,臺中市,北屯區,崇德十五路3號
溫以濮,0935471297,臺中市,沙鹿區,中山路23號
丁昀瑜,0916186539,屏東縣,麟洛鄉,中華路站前巷18號2樓
金利逸,0917156629,苗栗縣,頭份市,東田街13號之3
紀智辰,0919782651,臺北市,萬華區,成都路86號
宋立鬆,0953197375,宜蘭縣,大同鄉,松羅東巷84號
龔折苑,0934045357,臺南市,歸仁區,民權十二街98號之10
吳熹鷺,0938861353,屏東縣,內埔鄉,明華路35號
簡淑琳,0921964733,南投縣,草屯鎮,富昌路14號10樓
白昀春,0986188358,臺南市,安南區,安中路１段86號5樓之16
吳慶精,0989879745,澎湖縣,馬公市,文山路43號
鄭毅遠,0918828625,苗栗縣,頭份市,花好月圓97號11樓
李傑建,0927596732,臺北市,松山區,八德路４段98號
洪怡竹,0989467776,桃園市,龜山區,幸福五街61號5樓之9
巫彬欽,0935180708,屏東縣,恆春鎮,南灣路信義巷92號9樓
李呈宸,0918492672,臺南市,安南區,慈興七街64號
藍奕弘,0936325941,彰化縣,鹿港鎮,育民街3號2樓
廖希拓,0972730683,高雄市,橋頭區,橋頭路8號8樓
趙卓喧,0938510596,嘉義縣,竹崎鄉,水尾仔55號
黎芷黛,0924536770,高雄市,大樹區,中興街市場巷2號3樓之15
陳常潤,0921156242,臺北市,萬華區,內江街17號
陳亮衞,0982592761,高雄市,新興區,林森一路23號9樓之2
蔣泰祥,0914118573,臺南市,六甲區,中興街15號之5
戴凝彤,0960045732,雲林縣,斗六市,岩山路63號6樓之4
許又喧,0954116956,高雄市,前鎮區,衙松三街57號之8
陳涵芳,0960515868,新竹縣,尖石鄉,麥樹仁58號
胡俊勛,0910560500,臺南市,楠西區,水庫路73號
邱召璇,0924242608,彰化縣,鹿港鎮,忠孝路43號
范升玲,0958918462,新竹縣,竹東鎮,軟橋12號
溫宇慈,0934911539,花蓮縣,花蓮市,建華路6號2樓
宋卿詠,0987338757,臺南市,歸仁區,保興街31號12樓之17
陳允叢,0927717927,新竹縣,湖口鄉,新生一路89號2樓之11
詹呈芪,0912692281,臺中市,南屯區,大同街37號
蔣亦召,0917280371,臺東縣,臺東市,中山路51號2樓
巫佩芊,0963937226,彰化縣,埔鹽鄉,好金路66號
林中益,0910503470,桃園市,龍潭區,百年五街67號
吳彬駱,0932835991,苗栗縣,卓蘭鎮,豐田24號
魏世懋,0918378247,臺東縣,臺東市,重慶路80號
王妤政,0956152899,臺北市,大安區,金山南路２段61號11樓之10
余揚鷺,0952374063,高雄市,美濃區,中興路２段28號
王澍運,0930643653,彰化縣,伸港鄉,中山東路38號
簡暢欽,0913336180,彰化縣,和美鎮,彰美路５段44號9樓
余天暉,0913511118,臺中市,西屯區,大有一街99號10樓之3
涂雷錦,0982818209,臺南市,關廟區,五甲路81號11樓
許佑禹,0926196442,宜蘭縣,蘇澳鎮,頂寮路22號11樓
陸婭研,0920089301,高雄市,小港區,光盛街93號之9
陳千軒,0938616265,屏東縣,南州鄉,勝利路72號
胡樂緹,0982476741,彰化縣,社頭鄉,仁愛二路10號之7
胡爾豔,0952920906,嘉義縣,阿里山鄉,二萬平31號9樓之20
黃妤進,0952262747,彰化縣,伸港鄉,興工路55號5樓
洪宇庸,0971510334,臺中市,烏日區,高鐵路３段71號3樓
李心鬆,0911732319,桃園市,觀音區,民族路55號8樓
賴宣芳,0989553116,高雄市,鹽埕區,河西路35號3樓
蕭智璐,0970973236,花蓮縣,花蓮市,華廈街70號3樓
施初晶,0913011767,高雄市,左營區,立莊路66號4樓之4
王筑靈,0910498558,臺中市,西屯區,市政北七路79號之9
游全涵,0938730338,臺中市,西屯區,福星路54號2樓之11
吳連飛,0916342074,新北市,新店區,秀岡六街２段1號
邵升鈺,0939337499,高雄市,路竹區,民強街17號之16
盧懋馨,0910755955,苗栗縣,銅鑼鄉,雙峰路文峰巷69號
張平葉,0952023974,嘉義市,西區,玉康路12號9樓
李尹綺,0929559055,宜蘭縣,蘇澳鎮,南寧路99號8樓
李傑勵,0972954740,臺中市,沙鹿區,興安路16號
林寶聖,0929220619,彰化縣,鹿港鎮,工業東四路56號之15
許勵順,0934313885,高雄市,林園區,潭平路59號6樓
陳毅雪,0954085036,花蓮縣,玉里鎮,竹林87號
林梓祐,0970922356,高雄市,前鎮區,隆斌街17號8樓
潘樺諺,0914573556,南投縣,埔里鎮,南村路99號之8
侯璇韻,0913170034,臺中市,西屯區,甘州五街9號
李優若,0927113776,臺南市,關廟區,中山路２段8號
陳恩洪,0960576649,高雄市,鳥松區,高碼一巷97號9樓
李保嶽,0934006666,臺中市,東區,南京四街10號9樓
邵文韜,0919037697,彰化縣,大城鄉,西厝路43號
巫如採,0935909906,屏東縣,高樹鄉,高興路43號2樓
吳凡羽,0939588285,臺南市,關廟區,四維街100號
邱昊然,0923418470,臺中市,西屯區,華美西街２段85號之6
林勁精,0936081518,彰化縣,彰化市,泰和中街39號
汪乾濤,0934659143,新竹市,北區,世界街8號2樓
康年磊,0924262036,臺南市,東區,裕農路95號
康爍霖,0961926237,臺中市,后里區,甲后路47號
翁泓瑤,0961191854,雲林縣,斗六市,仁義路44號
簡于均,0936091801,彰化縣,秀水鄉,民生街28號
林城容,0958195968,高雄市,燕巢區,中興路28號
湯才然,0926918780,桃園市,中壢區,民溪七路56號
趙彥泛,0954546274,臺南市,柳營區,義士路５段15號5樓之12
王玫靜,0933163936,臺中市,豐原區,愛國街92號
陳寧暢,0938111234,臺中市,西屯區,福泰街31號之4
張名暢,0922435358,宜蘭縣,五結鄉,五結中路３段61號11樓
涂潔琉,0931355783,屏東縣,枋寮鄉,大庄路92號
張寧熙,0910380380,新北市,板橋區,英士路12號4樓
林月葉,0952343008,雲林縣,西螺鎮,平和南路58號9樓之7
馬意水,0910991561,雲林縣,崙背鄉,正心街74號3樓
張博祉,0963449484,高雄市,燕巢區,四林路71號
鄭峻忠,0927052541,南投縣,竹山鎮,鯉行路28號
蔡紫鬆,0960754067,臺北市,北投區,立賢路16號3樓之4
韓少鑾,0922592480,臺北市,內湖區,基湖路78號12樓
溫光彤,0910783912,南投縣,草屯鎮,平林巷7號
藍江貴,0913570936,臺北市,文山區,福興路22號
郭樺秉,0961025627,嘉義市,東區,新生路13號
嚴熹瑗,0921300926,臺中市,北區,日進街63號
康婧新,0919184529,高雄市,岡山區,岡燕路80號
錢維郁,0921773034,臺北市,萬華區,昆明街29號6樓
唐娟華,0916379008,桃園市,龜山區,茶專路22號12樓
陳意樺,0928575409,臺東縣,臺東市,傳廣路77號
蔡儀芷,0910847135,新竹縣,寶山鄉,雙園路２段29號之4
魏歆祥,0930730465,南投縣,集集鎮,環山街58號
嚴拓晨,0933441778,臺中市,大甲區,中山路１段34號
葉瀟風,0912938062,新北市,八里區,商港七路68號10樓
林康曄,0935876378,彰化縣,社頭鄉,新雅路59號
鄭哲平,0937858732,臺南市,新營區,秀才99號
劉蓁雅,0912715583,高雄市,仁武區,仁慈三街62號8樓
黃冉曼,0960100806,桃園市,觀音區,仁德街50號
梁材越,0933441637,新竹縣,竹北市,光明五街15號
陳嘉嬋,0910871475,新竹縣,新埔鎮,楊新路１段100號2樓
郭璧筱,0930589330,宜蘭縣,三星鄉,社區路15號
吳升詠,0968729738,高雄市,鹽埕區,莒光街27號10樓
吳禹芊,0922461038,臺南市,東區,自由路１段85號
馮星羽,0961559097,臺中市,新社區,中和街３段64號
潘奇進,0917135928,臺中市,大里區,健民路山腳巷46號之10
曾智爍,0986598931,新北市,土城區,慶和街16號
黃榕珂,0911312036,彰化縣,溪州鄉,登山路３段48號
張勝明,0910136843,澎湖縣,七美鄉,南滬11號6樓
梁子強,0932318594,新竹縣,關西鎮,中豐路２段99號10樓
李祺青,0968407571,高雄市,阿蓮區,和平路47號
洪俞郜,0953198050,臺南市,新化區,忠孝路24號
周嬈蓉,0938648533,臺北市,中山區,農安街18號
張晉韜,0922976146,新北市,淡水區,民族路66號5樓
李召穎,0952878736,臺南市,歸仁區,六甲八街52號
姜浩秉,0954651649,臺北市,中正區,汀州路２段89號6樓
涂得鋒,0955190446,高雄市,田寮區,西德路田尾巷10號
王祟芝,0920782837,新竹縣,峨眉鄉,富農新16號之19
朱蓓雨,0939319342,臺中市,大里區,國光路２段96號7樓之18
吳傑琛,0958170816,雲林縣,崙背鄉,民權路光明巷40號
陳慶漩,0919785223,屏東縣,長治鄉,農環路39號之18
邱姣蕊,0929610678,高雄市,楠梓區,慶昌街55號3樓
歐晨木,0960395001,臺南市,安南區,城安三街74號
黎樂煥,0923350329,臺中市,西屯區,精誠路59號之17
涂禧雪,0936446014,新北市,三峽區,東眼63號4樓
錢洋浚,0938172778,苗栗縣,頭份市,中正路29號
黎梓順,0989774127,苗栗縣,頭份市,忠孝二路51號6樓
陸津翊,0970144804,臺中市,西區,中山路25號之19
潘也竹,0968559624,臺南市,歸仁區,文化七街30號2樓
連婉淑,0935598874,臺中市,大甲區,新美街76號
邱品木,0918653449,臺南市,新營區,裕民路4號
徐琳綺,0968750635,桃園市,龍潭區,崁頂41號12樓
彭妹綺,0911336617,臺南市,白河區,中正路88號3樓
李彬晤,0917658837,新北市,中和區,中山路３段42號8樓
湯允美,0912087751,臺南市,安南區,安和路２段77號
楊全詩,0929432631,臺中市,清水區,中社路55號
姜晟潤,0915264630,雲林縣,崙背鄉,新嘉63號4樓
林園婕,0982329992,高雄市,美濃區,上興街30號3樓
杜卓靖,0955517731,臺南市,新營區,新榮七街29號8樓
金悦洋,0919217378,桃園市,中壢區,下興南1號
黎江芪,0952533805,南投縣,竹山鎮,昭德街12號7樓之10
賴堯遙,0926450914,屏東縣,屏東市,徐州路10號11樓
金康淇,0972307946,新竹市,東區,金山六街33號6樓之18
楊宥曄,0929088964,臺北市,文山區,試院路93號11樓
李庸雷,0910479404,桃園市,新屋區,中興北路49號之1
謝叡晉,0928147110,臺中市,北屯區,景賢八路84號
汪漢羚,0956555107,臺南市,下營區,營前街19號之10
葉琛鴻,0972813845,高雄市,美濃區,忠孝路２段50號
陳怡梅,0912406175,臺北市,中正區,愛國西路89號之15
蔡健然,0912105923,雲林縣,斗南鎮,建成街36號
馮温立,0926780229,新竹縣,竹北市,新港二街7號9樓
金仁寒,0935778188,臺東縣,臺東市,吉林路２段86號12樓
董瑄萍,0955142350,臺北市,中正區,羅斯福路１段20號
薛政益,0935440492,嘉義縣,竹崎鄉,鹿鳴路37號8樓
馬濤珂,0913688236,臺北市,北投區,崇仰五路76號之6
方碩英,0927586997,彰化縣,鹿港鎮,埔腳巷22號
黎潔煜,0937687055,嘉義市,西區,民生南路23號11樓之5
鍾俞琪,0988308741,高雄市,甲仙區,小林路25號
王流立,0933128991,高雄市,前鎮區,中山二路4號
蕭苡麗,0936684870,臺中市,南區,忠明南路93號
何恩斯,0926813708,新北市,貢寮區,北勢坑街53號之5
陳建晏,0987465149,高雄市,前鎮區,明道二街21號
康榕津,0954758986,桃園市,觀音區,國建二路25號
邱熙藝,0911986536,宜蘭縣,三星鄉,大義三路37號10樓
唐濱祉,0954760066,屏東縣,竹田鄉,豐興路74號2樓
李乾越,0956888043,桃園市,龜山區,萬壽路１段46號
劉琪笑,0932721826,桃園市,中壢區,龍慈路69號之13
趙寶藝,0917413567,高雄市,小港區,鳳東街96號8樓
鄭奕逸,0917508132,新北市,石碇區,崩山40號
陳昊進,0961705884,雲林縣,斗六市,榴十六街62號
陳呈智,0912708009,新北市,中和區,莊敬路86號
賴嬈寶,0913581342,臺中市,大雅區,東大路２段82號
蘇呈姝,0921188479,花蓮縣,壽豐鄉,富吉街16號7樓
呂召雨,0960587574,高雄市,鼓山區,延平街1號
魏昊豪,0910429521,高雄市,梓官區,信興二路15號
蕭劉霜,0954284953,桃園市,桃園區,民有十街45號
賴夢曄,0932401457,桃園市,大園區,文興街20號
孫歌玥,0917350176,臺東縣,池上鄉,中山路9號之10
黃于玟,0928426577,臺南市,永康區,平街86號4樓
韓恩樹,0986618596,桃園市,楊梅區,長青東街33號之3
蔣子藍,0968181501,嘉義縣,鹿草鄉,鹿草82號
劉勛海,0968772296,桃園市,桃園區,德壽四街18號
薛聰韻,0937223960,臺北市,北投區,中興路35號5樓
陳成淳,0924731424,嘉義縣,竹崎鄉,下坪12號
顏璐真,0956624547,嘉義市,西區,友孝路9號10樓
馮尚育,0934688822,桃園市,龜山區,下湖街84號之11
宋瑋睿,0927117021,桃園市,中壢區,文昌路88號
陳呈雨,0960565345,新北市,土城區,裕生路85號
涂星青,0971854149,新北市,中和區,中原三街68號5樓
詹逸鋭,0971113493,雲林縣,斗六市,勝利街93號
邱泓谷,0910318599,高雄市,岡山區,本洲三街12號
魏啟常,0933365294,臺南市,安定區,港口62號
王勝心,0924258296,桃園市,新屋區,新港路27號
賴家巖,0935540468,南投縣,竹山鎮,中正四巷69號5樓之11
鄧睿立,0970824439,臺南市,中西區,民族路２段30號
張誠鴻,0989992999,苗栗縣,苗栗市,鎮舍16號
蔡嬡愛,0934200490,高雄市,旗山區,德昌路59號
翁志理,0972168106,高雄市,鳳山區,南光街19號
王凱柯,0953510390,南投縣,草屯鎮,新生路88號10樓
康濱禹,0919825868,高雄市,楠梓區,後勁東路39號10樓
藍安雁,0917348592,屏東縣,屏東市,民教路42號
邱天韻,0972257420,新竹縣,湖口鄉,莊敬路53號6樓之4
