audit_id,audit_name,school,grade,tel ,address ,status
a_00047,林柏翰,台北市立中正高級中學,三年級,0982-639-407,基隆市仁愛區愛三路50號,已報名
a_00049,林思涵,新北市立三芝高級中學,二年級,0931-246-320,基隆市仁愛區愛三路50號,已報名
a_00050,黃昀潔,台北市立大安高級中學,二年級,0930-598-843,基隆市中正區北寧路100號,已報名
a_00053,張志豪,台北市立華岡高級中學,三年級,0982-489-965,基隆市仁愛區愛三路50號,已報名
a_00056,林怡君,新北市立深坑高級中學,一年級,0952-509-690,基隆市中正區北寧路100號,已報名
a_00057,蔡柏翰,台北市立華岡高級中學,三年級,0910-858-531,基隆市中正區北寧路100號,已報名
a_00062,蔡昀潔,新北市立板橋高級中學,二年級,0910-357-116,新北市永和區永和路一段100號,已報名
a_00063,張志豪,新北市立瑞芳高級中學,二年級,0952-934-437,基隆市中正區北寧路100號,已報名
a_00065,蔡志豪,私立薇閣高級中學,一年級,0972-586-196,新北市板橋區中山路一段200號,已報名
a_00067,楊昱婷,新北市立樹林高級中學,三年級,0930-740-758,台北市信義區松高路11號,已報名
a_00068,劉昀潔,新北市立深坑高級中學,二年級,0982-791-777,台北市中正區忠孝西路一段120號,已報名
a_00069,楊柏翰,台北市立西松高級中學,三年級,0931-242-753,新北市板橋區中山路一段200號,已報名
a_00070,張怡君,私立薇閣高級中學,一年級,0912-335-860,台北市中正區忠孝西路一段120號,已報名
a_00077,王昱婷,新北市立中和高級中學,三年級,0910-358-925,台北市信義區松高路11號,已報名
a_00080,楊怡君,新北市立五股高級中學,一年級,0931-801-354,基隆市中正區北寧路100號,已報名
a_00082,王怡君,新北市立金山高級中學,一年級,0992-148-889,新北市板橋區中山路一段200號,已報名
a_00084,楊家豪,台北市立大同高級中學,一年級,0911-719-108,台北市信義區松高路11號,已報名
a_00087,黃志豪,新北市立土城高級中學,一年級,0952-383-390,台北市信義區松高路11號,已報名
a_00089,劉柏翰,私立薇閣高級中學,三年級,0912-833-245,台北市中正區忠孝西路一段120號,已報名
a_00090,劉佳穎,新北市立樹林高級中學,一年級,0972-860-973,新北市永和區永和路一段100號,已報名
a_00095,劉佳穎,新北市立新北高級中學,一年級,0910-588-626,台北市中正區忠孝西路一段120號,已報名
