parent_name,parent_tel,student_id
黃濮雨,0987354598,s_202100263
劉秀鑾,0933378425,s_202100264
鄭沐鳳,0954151908,s_202100265
古依夢,0927501491,s_202100266
程威洪,0953405444,s_202100267
林倫錦,0932205884,s_202100268
吳凡翊,0921845081,s_202100269
傅興谷,0928679416,s_202100270
董惠鈺,0938592263,s_202100271
張伯藻,0915055546,s_202100272
溫啟波,0937007087,s_202100273
巫美進,0920712425,s_202100274
楊坤鑾,0923644164,s_202100275
張嬈海,0924908291,s_202100276
詹卓忠,0910055508,s_202100277
林可夫,0970266142,s_202100278
丁柯盛,0935985307,s_202100279
鄒川邦,0956807286,s_202100280
卓宛玫,0972747863,s_202100281
歐平惠,0910424748,s_202100282
黃又羚,0952714955,s_202100283
鄭易榕,0970274931,s_202100284
郭千杭,0932484749,s_202100285
陳吉瓊,0924865276,s_202100286
張業水,0963943015,s_202100287
丁城建,0972035097,s_202100288
王明靖,0928290056,s_202100289
蕭晤楚,0988882637,s_202100290
劉勛豪,0936812269,s_202100291
彭義辛,0912485545,s_202100292
鄭禹雪,0912914915,s_202100293
鄒汝黛,0960478488,s_202100294
梁家潞,0971277935,s_202100295
李森瀟,0932138044,s_202100296
蔡倩凝,0915491796,s_202100297
韓意柏,0919347934,s_202100298
王宸聰,0952414209,s_202100299
康淇連,0939126696,s_202100300
薛朋立,0987844387,s_202100301
游孝容,0927336332,s_202100302
李妍穎,0925851051,s_202100303
劉山成,0931230628,s_202100304
董函語,0917264840,s_202100305
邱棋玫,0955792039,s_202100306
陳詠雲,0926596082,s_202100307
胡亭芳,0925657767,s_202100308
黃敏鳳,0930653066,s_202100309
劉也召,0988777343,s_202100310
陳林雁,0932345855,s_202100311
王婕汝,0987984671,s_202100312
陳彌鋒,0960244818,s_202100313
傅燕靈,0921220055,s_202100314
何吉沫,0970030107,s_202100315
黃勛琛,0988708338,s_202100316
蕭勵衞,0935071958,s_202100317
謝孝潞,0970999976,s_202100318
唐先宛,0937031796,s_202100319
朱寒鈞,0931936830,s_202100320
余彥濤,0917452714,s_202100321
姚明辰,0912690927,s_202100322
廖坤泓,0956401956,s_202100323
潘懋顏,0920301498,s_202100324
林尚林,0968099098,s_202100325
黃柯萬,0931661162,s_202100326
陳力尹,0913693615,s_202100327
吳嚴暉,0932873008,s_202100328
蔡宜歡,0935264389,s_202100329
賴婧辰,0933140883,s_202100330
汪瀾蓁,0911245483,s_202100331
龔祉道,0923935985,s_202100332
楊佑忠,0937492294,s_202100333
王妮眉,0914321655,s_202100334
黃逞順,0989336999,s_202100335
黃辰韻,0954455858,s_202100336
陳良霆,0915097427,s_202100337
田竹萍,0933094473,s_202100338
郭珂舒,0913447579,s_202100339
陳啟浩,0989883902,s_202100340
邱依嫻,0933940833,s_202100341
尤政洢,0925610988,s_202100342
蔡羣馨,0921577897,s_202100343
杜歡璇,0937497604,s_202100344
曾先妍,0936291355,s_202100345
林政棠,0935204285,s_202100346
錢明沐,0932333645,s_202100347
廖安義,0927143857,s_202100348
薛永瑋,0935648892,s_202100349
陳榮鴻,0924340715,s_202100350
丁祉遠,0987395361,s_202100351
吳瑾莘,0934096125,s_202100352
張思漢,0954018252,s_202100353
陳彬木,0915496753,s_202100354
楊晶韋,0924314750,s_202100355
葉優捷,0953218146,s_202100356
郭洢瑤,0929714723,s_202100357
陳曼永,0931569647,s_202100358
金婭萱,0919326576,s_202100359
鐘芸靈,0954385984,s_202100360
林越鴻,0938421279,s_202100361
陸敬軒,0987687022,s_202100362
蔣品秋,0921317072,s_202100363
吳斯璟,0918206305,s_202100364
周如真,0917138802,s_202100365
翁瑩菲,0919733143,s_202100366
李千星,0928940970,s_202100367
林青鬆,0968150485,s_202100368
侯元政,0917207473,s_202100369
傅山彬,0924981287,s_202100370
高瀾靖,0955569710,s_202100371
呂丹笑,0924709755,s_202100372
陳允盧,0910799288,s_202100373
曾亦薇,0917442218,s_202100374
呂婕軒,0922022167,s_202100375
洪宸穎,0929083807,s_202100376
林君汝,0933008292,s_202100377
溫瑗眉,0912804487,s_202100378
徐源聰,0924372515,s_202100379
蔣儀進,0926408112,s_202100380
林婧漢,0989761740,s_202100381
吳勳瀚,0952604674,s_202100382
郭國盛,0934047328,s_202100383
蔡宥逸,0955505634,s_202100384
邵興雪,0953744712,s_202100385
鐘致靄,0953644438,s_202100386
柯宸煥,0927009876,s_202100387
吳意泓,0935171760,s_202100388
陳吉江,0913739483,s_202100389
余健弘,0922135043,s_202100390
梁姣碧,0963521679,s_202100391
王帆萱,0972099808,s_202100392
黃孝谷,0938104352,s_202100393
張亮柯,0953047782,s_202100394
連嬈笑,0932150246,s_202100395
蘇涵翊,0955865669,s_202100396
藍益真,0931458321,s_202100397
謝諺逸,0911819030,s_202100398
石君樂,0987088905,s_202100399
游卓致,0931007261,s_202100400
潘召沫,0939566777,s_202100401
曹謹鴻,0986615729,s_202100402
張晉江,0913508700,s_202100403
康燦鶴,0917679715,s_202100404
許倫楷,0923165696,s_202100405
賴先芸,0921678907,s_202100406
白恩曉,0924312432,s_202100407
錢婉藴,0926631164,s_202100408
程卓蕊,0910181514,s_202100409
巫瑋祺,0937963234,s_202100410
吳冠銀,0970938346,s_202100411
張成濱,0954959717,s_202100412
何然瓊,0958441324,s_202100413
林海璟,0926104504,s_202100414
黃千南,0917387873,s_202100415
張亭潞,0928269805,s_202100416
紀沫瑋,0986831640,s_202100417
涂世尚,0911766452,s_202100418
錢折英,0917459492,s_202100419
田易瑞,0954069545,s_202100420
林熙蒨,0912906870,s_202100421
謝柯瓊,0913368903,s_202100422
蔣敏筱,0988773550,s_202100423
曹夢智,0922392541,s_202100424
蔣漢連,0923541306,s_202100425
潘楷燦,0910483729,s_202100426
游晉月,0961657978,s_202100427
薛珂詩,0932576743,s_202100428
李哲霖,0989819158,s_202100429
鄭照芝,0911062722,s_202100430
鄒孝韶,0939708639,s_202100431
歐希文,0919354418,s_202100432
姚旻芳,0971135132,s_202100433
田夏晏,0961654670,s_202100434
薛潞瑤,0937287426,s_202100435
黃舒豔,0926392067,s_202100436
戴維靈,0936933643,s_202100437
許晗皓,0958717847,s_202100438
蔡瑋碧,0956997628,s_202100439
梁乾輝,0934335940,s_202100440
方暢賢,0914113479,s_202100441
袁巖軒,0989071913,s_202100442
張曉雅,0919009184,s_202100443
蔡于艾,0960239989,s_202100444
陳海芸,0971148926,s_202100445
周允琉,0924755882,s_202100446
詹洪澍,0971287577,s_202100447
李樹瀚,0988712528,s_202100448
馮保曄,0925596200,s_202100449
蔣宗豪,0936079765,s_202100450
曾晉靈,0968760119,s_202100451
蔡子維,0936768118,s_202100452
曾忠易,0954095849,s_202100453
潘棋銀,0920642212,s_202100454
簡勝弘,0988575573,s_202100455
許笑義,0920980522,s_202100456
嚴安茜,0934986115,s_202100457
阮喧珮,0933665754,s_202100458
丁歌盧,0918561759,s_202100459
程芷馨,0923958798,s_202100460
洪名業,0982281221,s_202100461
卓圖水,0986581333,s_202100462
林園曼,0956210064,s_202100463
馬萬語,0916749297,s_202100464
丁容林,0916383433,s_202100465
黃好思,0937804415,s_202100466
姜丹俊,0961182438,s_202100467
陸星驥,0934900594,s_202100468
黃來家,0919034496,s_202100469
陳琪鬱,0910182850,s_202100470
黃温進,0971088930,s_202100471
黃翔雙,0928933059,s_202100472
邱勳磊,0958987371,s_202100473
陳才蓁,0956928836,s_202100474
涂宗竹,0922789293,s_202100475
廖林濱,0917530561,s_202100476
蔡均漢,0927564853,s_202100477
薛嶽川,0911377910,s_202100478
林庸浩,0929833381,s_202100479
陳承韶,0916841840,s_202100480
巫潔靈,0953703941,s_202100481
李宇樂,0954354274,s_202100482
高敏純,0939349429,s_202100483
賴瀟眾,0911891220,s_202100484
李輝道,0920701926,s_202100485
袁喧麗,0936836722,s_202100486
蕭彰水,0913475427,s_202100487
黃圖曄,0936037445,s_202100488
鄧景穎,0914053323,s_202100489
田千微,0982871456,s_202100490
鄒芪茹,0923348551,s_202100491
張莎萱,0932492380,s_202100492
陳坤歆,0935702967,s_202100493
陳夏霞,0954415454,s_202100494
張永盛,0910690713,s_202100495
曹承晨,0932553464,s_202100496
陳泰誠,0928220384,s_202100497
姚丞貴,0960379818,s_202100498
張依天,0968975323,s_202100499
李叡啟,0988152917,s_202100500
許初琪,0958443474,s_202100501
黃昀萍,0916736628,s_202100502
陳妹馨,0924858682,s_202100503
吳許達,0935398785,s_202100504
賴宥玲,0968143041,s_202100505
楊政柏,0955397452,s_202100506
張微晨,0971900167,s_202100507
蔡寶希,0988685236,s_202100508
陸昱雪,0937127901,s_202100509
劉恆洪,0989291074,s_202100510
巫忠棟,0982429616,s_202100511
張允芮,0932279534,s_202100512
蔡昱蓉,0963058684,s_202100513
蔡勝邦,0982509716,s_202100514
林以昀,0938787839,s_202100515
鍾展聖,0916931996,s_202100516
王平熙,0972878079,s_202100517
薛修天,0916216521,s_202100518
黃容昕,0934088997,s_202100519
蔡晟韜,0924855976,s_202100520
賴棋睿,0915708680,s_202100521
張琦陣,0928529217,s_202100522
游一婉,0987350500,s_202100523
陳婭芸,0970209410,s_202100524
林爍瞻,0986346911,s_202100525
游巖文,0915521881,s_202100526
蔣亦瓊,0971863675,s_202100527
朱捷莘,0918787909,s_202100528
蔣晟雅,0926354757,s_202100529
黃俠彬,0952549902,s_202100530
宋流瑋,0958855471,s_202100531
簡千瑗,0939770487,s_202100532
湯嫣曉,0928857748,s_202100533
陳容霜,0971633613,s_202100534
鐘蓉谷,0929650286,s_202100535
梁晤泰,0934142084,s_202100536
何致齊,0914393693,s_202100537
蔡眾逸,0939436186,s_202100538
彭業海,0921304705,s_202100539
王致銘,0937700127,s_202100540
杜材然,0968006747,s_202100541
胡夕竹,0917485400,s_202100542
林家慶,0988738086,s_202100543
白佳源,0989002370,s_202100544
周波良,0933503889,s_202100545
侯新華,0987500279,s_202100546
魏馳鼎,0915115943,s_202100547
黃盛羣,0987760469,s_202100548
何毅藻,0930291896,s_202100549
侯爍鼎,0933365963,s_202100550
林眾藻,0918699263,s_202100551
李明泓,0913428606,s_202100552
丁莎鬱,0956946867,s_202100553
孫俠年,0910222811,s_202100554
謝寶泉,0989748178,s_202100555
吳新潞,0929850975,s_202100556
孫千新,0932661224,s_202100557
詹光羣,0911201746,s_202100558
江敏莉,0952023592,s_202100559
劉瑾眾,0952247784,s_202100560
張念華,0921051571,s_202100561
范中曄,0953885067,s_202100562
白力君,0922482138,s_202100563
李亞筠,0954854473,s_202100564
林思術,0925977721,s_202100565
許菁青,0926042252,s_202100566
黃璐翊,0916214364,s_202100567
溫熙韻,0986068141,s_202100568
卓婉遠,0933814698,s_202100569
劉宣敏,0910700757,s_202100570
阮慧琉,0935648540,s_202100571
邵益聖,0939985726,s_202100572
錢曄永,0920553349,s_202100573
柯雲霄,0918043104,s_202100574
王洋璐,0924741348,s_202100575
何曉藝,0988154336,s_202100576
侯佑淳,0920590961,s_202100577
李毓珈,0936250471,s_202100578
蔣均玫,0916095007,s_202100579
潘威彥,0933861030,s_202100580
黃利豐,0939353237,s_202100581
黃伯輝,0987512600,s_202100582
嚴力正,0930296212,s_202100583
陸文茜,0919158580,s_202100584
吳克盈,0925397435,s_202100585
李璧鷺,0939034425,s_202100586
劉諄雙,0926309907,s_202100587
羅家月,0915815206,s_202100588
劉晤諺,0986529743,s_202100589
連夫峯,0987879023,s_202100590
王俞浩,0970396540,s_202100591
田東浚,0936807839,s_202100592
張研芷,0960573462,s_202100593
林子聖,0932660177,s_202100594
謝亭懿,0987781232,s_202100595
黃方港,0921295912,s_202100596
鄧採莘,0919107210,s_202100597
楊峯郜,0970726106,s_202100598
李倫成,0917492169,s_202100599
彭沛谷,0912615183,s_202100600
黃楚瑞,0963042029,s_202100601
張璧瓊,0921932805,s_202100602
陳楷鴻,0933035669,s_202100603
周勳穎,0922364122,s_202100604
張熙羽,0918402219,s_202100605
陳吉芷,0987636729,s_202100606
溫晏榕,0939543017,s_202100607
劉慧芮,0958113352,s_202100608
楊祉芝,0914391254,s_202100609
陸利慧,0931968533,s_202100610
劉宇平,0968390158,s_202100611
張可豔,0932472187,s_202100612
巫均育,0927800126,s_202100613
陸姝菁,0910650741,s_202100614
鍾方知,0921530298,s_202100615
盧旭泰,0934284962,s_202100616
黃博鶴,0934572634,s_202100617
邱曼馨,0954289300,s_202100618
王丞泓,0931003081,s_202100619
姚耿融,0910946083,s_202100620
林品紈,0923270692,s_202100621
林川希,0955860813,s_202100622
馬尹漩,0925385821,s_202100623
曾媛慧,0921191866,s_202100624
楊鷺齊,0926938318,s_202100625
侯以冬,0920059564,s_202100626
馮木許,0952816730,s_202100627
丁柏澤,0913954206,s_202100628
湯慈英,0956114812,s_202100629
韓宣庭,0986335532,s_202100630
施娜婧,0911807261,s_202100631
郭湘靜,0912069030,s_202100632
沈沛海,0972217475,s_202100633
蘇函煜,0932090438,s_202100634
陳羽育,0931746546,s_202100635
李洪紈,0963964573,s_202100636
梁琳芝,0932505648,s_202100637
郭海藻,0927531459,s_202100638
王君慶,0928890245,s_202100639
袁于珺,0931366776,s_202100640
姚嘉淳,0925798390,s_202100641
黃升智,0928872036,s_202100642
吳晶珺,0961114035,s_202100643
涂健冠,0914721822,s_202100644
黎珮薇,0928445329,s_202100645
謝捷綺,0911564755,s_202100646
邱泉靜,0932110371,s_202100647
張舒韻,0934458501,s_202100648
宋凡澍,0923306618,s_202100649
黃嘉妹,0961258186,s_202100650
鐘澤知,0923919237,s_202100651
邵玲芸,0986793217,s_202100652
鄧郜順,0960578064,s_202100653
羅澍齊,0929821951,s_202100654
紀宥露,0911080124,s_202100655
錢瀟韻,0953089566,s_202100656
馮信瀟,0958285178,s_202100657
田晶眉,0922530470,s_202100658
張振洪,0955557829,s_202100659
吳志鋅,0938062616,s_202100660
黎欽羽,0939899696,s_202100661
楊林添,0987725877,s_202100662
尤安庭,0913838475,s_202100663
楊姣微,0952673042,s_202100664
劉塵樂,0987658515,s_202100665
杜辛雙,0954562563,s_202100666
趙春芝,0970677620,s_202100667
藍智超,0912536421,s_202100668
洪功可,0918732691,s_202100669
曾丹晴,0928840955,s_202100670
劉元晨,0912941003,s_202100671
郭宸諺,0963643579,s_202100672
廖保浚,0936143876,s_202100673
李呈蕊,0982691110,s_202100674
姜可然,0912990587,s_202100675
汪家聖,0934870195,s_202100676
王吉知,0923994692,s_202100677
許英雲,0989647858,s_202100678
林允帆,0987503252,s_202100679
彭翰馨,0968052022,s_202100680
姚知邦,0955550897,s_202100681
紀君耀,0920456091,s_202100682
程好蓓,0953652070,s_202100683
詹凡源,0933196555,s_202100684
李姣義,0954962691,s_202100685
卓世鈞,0954050656,s_202100686
鄭可馨,0952850186,s_202100687
田彌陣,0936317645,s_202100688
陳藻運,0927896916,s_202100689
林君晤,0924392406,s_202100690
黃恆棋,0938547916,s_202100691
卓坤慶,0911494575,s_202100692
王彌方,0982055799,s_202100693
趙秉霖,0956937627,s_202100694
許熹術,0938025266,s_202100695
李宣笑,0961431722,s_202100696
龔尹梓,0915511132,s_202100697
鍾榮洋,0934356982,s_202100698
姜寶禹,0953933698,s_202100699
洪庭怡,0961859669,s_202100700
宋勁棋,0963177375,s_202100701
劉凰國,0938018198,s_202100702
許偉圖,0958660705,s_202100703
梁耀舟,0935663400,s_202100704
張安鴻,0913579045,s_202100705
余明霞,0910346372,s_202100706
梁嶽齊,0918492704,s_202100707
謝於鈺,0928212347,s_202100708
曾勝濱,0955886215,s_202100709
尤夏肇,0913249072,s_202100710
黃召峻,0955062566,s_202100711
程精興,0924085901,s_202100712
陳瑞藍,0924504826,s_202100713
許君杉,0935402347,s_202100714
侯晨融,0925769958,s_202100715
龔明郁,0939763498,s_202100716
高嚴霖,0936282452,s_202100717
劉晴芝,0970172070,s_202100718
吳賢進,0986352688,s_202100719
劉思杉,0970123579,s_202100720
錢蕊黛,0914512009,s_202100721
周鑫霄,0952713652,s_202100722
潘津辰,0913843846,s_202100723
鄭貴遠,0988058583,s_202100724
馬于璧,0970999228,s_202100725
楊先懷,0921262398,s_202100726
柯城雄,0953570716,s_202100727
顏姣藍,0935104866,s_202100728
陳辰霞,0936522704,s_202100729
李偲恩,0963273713,s_202100730
謝奕聰,0917644032,s_202100731
周慶祉,0936866164,s_202100732
顏利義,0971705639,s_202100733
陳勝折,0982832998,s_202100734
李凌呈,0927252495,s_202100735
張曉歡,0910935414,s_202100736
謝春璐,0958250507,s_202100737
許博港,0970382471,s_202100738
賴昕梅,0932629581,s_202100739
詹慶馳,0954674428,s_202100740
唐庭昊,0931053462,s_202100741
巫彥鋭,0952565588,s_202100742
黃夕遠,0912903674,s_202100743
呂宇泉,0920266601,s_202100744
林政玫,0939017883,s_202100745
陳彤黛,0954322526,s_202100746
陳娜孝,0922715802,s_202100747
王林隆,0931841392,s_202100748
廖呈蓉,0982572036,s_202100749
朱家瑞,0954861822,s_202100750
方真英,0961241691,s_202100751
嚴梅鬱,0954986970,s_202100752
張捷賢,0911220822,s_202100753
林勵睿,0970449523,s_202100754
梁振霆,0920900399,s_202100755
賴芬谷,0971177526,s_202100756
歐仁濤,0914820609,s_202100757
王棋瑤,0938482447,s_202100758
施玲麗,0913592055,s_202100759
許彤湘,0935166266,s_202100760
邱光暢,0936297477,s_202100761
鄧希春,0972194188,s_202100762
楊明榕,0958576179,s_202100763
洪天錦,0915631581,s_202100764
黃偉明,0986035013,s_202100765
魏宸聰,0988717955,s_202100766
方劉瑾,0960643286,s_202100767
簡楠清,0910211673,s_202100768
楊平楚,0917276428,s_202100769
高木隆,0987896619,s_202100770
王慈浚,0925868250,s_202100771
梁彌禧,0960208619,s_202100772
杜辰逸,0933007925,s_202100773
孫沐益,0914962005,s_202100774
蕭楠清,0923465629,s_202100775
簡曄樺,0986784861,s_202100776
江嫻景,0932276632,s_202100777
何家蓁,0955868823,s_202100778
蕭梅棋,0934374681,s_202100779
楊全霞,0922800662,s_202100780
劉心清,0938534875,s_202100781
袁睿興,0960187570,s_202100782
盧亦克,0914432798,s_202100783
謝亦悦,0952054459,s_202100784
薛園彤,0952826135,s_202100785
陳新鬆,0917343339,s_202100786
林晉韻,0982459420,s_202100787
林一潔,0954333450,s_202100788
曹鑫風,0931940811,s_202100789
張庸旭,0968495560,s_202100790
李懋木,0912479050,s_202100791
陳名君,0915934032,s_202100792
呂育鈞,0986954421,s_202100793
朱星穎,0932795114,s_202100794
蔡拓青,0971949345,s_202100795
龔添蓉,0926183855,s_202100796
王芷辰,0916921787,s_202100797
石均政,0925845994,s_202100798
李凡宗,0918232073,s_202100799
藍恩曉,0920409224,s_202100800
鐘婷永,0915143082,s_202100801
柯偲瑗,0926689966,s_202100802
古晶韋,0987456739,s_202100803
蕭慶鬆,0972482195,s_202100804
